,seed,model,data,batch_size,method,count,num_epochs,lr,loss,epoch,type,spearman
44,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,2,valid,0.836
45,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,3,train,0.899
46,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,3,valid,0.871
47,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,4,train,0.911
48,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,4,valid,0.867
49,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,5,train,0.918
50,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,5,valid,0.871
51,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,6,train,0.932
52,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,6,valid,0.88
53,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,7,train,0.941
54,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,7,valid,0.888
55,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,8,train,0.949
56,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,8,valid,0.897
57,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,9,train,0.952
58,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,9,valid,0.89
59,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,10,train,0.957
60,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,10,valid,0.9
61,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,11,train,0.962
62,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,11,valid,0.886
63,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,12,train,0.967
64,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,12,valid,0.895
65,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,13,train,0.972
66,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,13,valid,0.902
67,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,14,train,0.976
68,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,14,valid,0.904
69,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,15,train,0.979
70,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,15,valid,0.902
71,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,16,train,0.981
72,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,16,valid,0.903
73,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,17,train,0.982
74,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,17,valid,0.904
75,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,18,train,0.985
76,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,18,valid,0.898
77,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,19,train,0.987
78,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,19,valid,0.901
79,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,20,train,0.987
80,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,20,valid,0.901
81,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,21,valid,0.907
82,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,1,train,0.635
83,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,1,valid,0.604
84,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,2,train,0.809
85,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,2,valid,0.797
86,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,3,train,0.875
87,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,3,valid,0.867
88,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,4,train,0.883
89,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,4,valid,0.875
90,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,5,train,0.898
91,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,5,valid,0.881
92,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,6,train,0.911
93,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,6,valid,0.887
94,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,7,train,0.921
95,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,7,valid,0.892
96,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,8,train,0.917
97,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,8,valid,0.892
98,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,9,train,0.933
99,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,9,valid,0.903
100,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,10,train,0.936
101,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,10,valid,0.905
102,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,11,train,0.939
103,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,11,valid,0.905
104,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,12,train,0.944
105,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,12,valid,0.912
106,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,13,train,0.946
107,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,13,valid,0.906
108,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,14,train,0.949
109,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,14,valid,0.91
110,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,15,train,0.95
111,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,15,valid,0.907
112,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,16,train,0.952
113,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,16,valid,0.906
114,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,17,train,0.954
115,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,17,valid,0.908
116,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,18,train,0.957
117,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,18,valid,0.91
118,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,19,train,0.958
119,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,19,valid,0.91
120,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,20,train,0.958
121,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,20,valid,0.91
122,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,21,valid,0.903
123,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,1,train,0.301
124,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,1,valid,0.362
125,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,2,train,0.422
126,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,2,valid,0.383
127,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,3,train,0.431
128,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,3,valid,0.379
129,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,4,train,0.172
130,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,4,valid,0.186
131,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,5,train,0.282
132,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,5,valid,0.307
133,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,6,train,0.587
134,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,6,valid,0.528
135,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,7,train,0.719
136,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,7,valid,0.717
137,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,8,train,0.821
138,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,8,valid,0.779
139,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,9,train,0.857
140,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,9,valid,0.819
141,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,10,train,0.877
142,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,10,valid,0.833
143,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,11,train,0.877
144,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,11,valid,0.832
145,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,12,train,0.893
146,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,12,valid,0.854
147,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,13,train,0.904
148,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,13,valid,0.857
149,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,14,train,0.91
150,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,14,valid,0.863
151,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,15,train,0.916
152,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,15,valid,0.863
153,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,16,train,0.922
154,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,16,valid,0.871
155,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,17,train,0.928
156,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,17,valid,0.872
157,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,18,train,0.93
158,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,18,valid,0.873
159,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,19,train,0.931
160,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,19,valid,0.874
161,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,20,train,0.931
162,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,20,valid,0.873
163,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,21,valid,0.873
164,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,1,train,0.518
165,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,1,valid,0.51
166,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,2,train,0.477
167,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,2,valid,0.449
168,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,3,train,0.654
169,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,3,valid,0.622
170,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,4,train,0.735
171,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,4,valid,0.733
172,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,5,train,0.794
173,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,5,valid,0.774
174,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,6,train,0.848
175,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,6,valid,0.821
176,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,7,train,0.881
177,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,7,valid,0.864
178,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,8,train,0.897
179,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,8,valid,0.859
180,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,9,train,0.923
181,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,9,valid,0.891
182,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,10,train,0.926
183,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,10,valid,0.898
184,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,11,train,0.937
185,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,11,valid,0.891
186,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,12,train,0.943
187,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,12,valid,0.895
188,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,13,train,0.949
189,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,13,valid,0.897
190,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,14,train,0.951
191,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,14,valid,0.9
192,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,15,train,0.955
193,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,15,valid,0.901
194,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,16,train,0.957
195,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,16,valid,0.901
196,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,17,train,0.96
197,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,17,valid,0.903
198,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,18,train,0.961
199,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,18,valid,0.902
200,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,19,train,0.962
201,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,19,valid,0.904
202,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,20,train,0.963
203,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,20,valid,0.903
204,101,Prime_690M,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,21,valid,0.893
205,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,1,train,0.751
206,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,1,valid,0.727
207,101,SaProt_650M_PDB,01.beta-lactamase_activity_5405sequence.csv,5,top_layer,4,20,0.0001,MSE,2,train,0.833
