,seed,model,data,batch_size,method,count,num_epochs,lr,loss,epoch,type,spearman
39,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,20,valid,0.828
40,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,21,valid,0.772
41,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,1,train,0.562
42,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,1,valid,0.561
43,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,2,train,0.641
44,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,2,valid,0.64
45,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,3,train,0.69
46,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,3,valid,0.685
47,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,4,train,0.731
48,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,4,valid,0.721
49,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,5,train,0.755
50,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,5,valid,0.745
51,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,6,train,0.769
52,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,6,valid,0.754
53,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,7,train,0.778
54,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,7,valid,0.768
55,101,esm2_t33_650M_UR50D,01.avGFP_fluorescence_30202sequence.csv.csv,5,top_layer,4,20,0.0001,MSE,8,train,0.793
